Date,Open,High,Low,Close,Volume,Adj Close
2015-09-23,39.275,39.71,38.625,38.65,6162100,36.5417
2015-09-22,40.96,41.09,39.065,39.38,5781800,37.2319
2015-09-21,40.32,41.24,40.245,41.025,3283500,38.7872
2015-09-18,41.875,41.905,40.115,40.435,9381600,38.2294
2015-09-17,42.37,42.485,42.04,42.19,3095400,39.8886
2015-09-16,42.395,42.645,42.005,42.195,3059300,39.8934
2015-09-15,41.67,42.405,41.23,42.03,2758200,39.7374
2015-09-14,42.395,42.67,41.48,41.64,3243700,39.3686
2015-09-11,42.97,42.975,42.085,42.36,2554400,40.0494
2015-09-10,42.82,43.42,42.375,42.72,3294800,40.3897
2015-09-09,43.89,44.07,43.20,43.20,3584200,40.8435
2015-09-08,42.15,43.24,42.10,42.67,4151700,40.3424
2015-09-07,41.94,42.24,41.585,41.81,1939400,39.5294
2015-09-04,42.905,43.08,41.43,41.62,5009700,39.3497
2015-09-03,42.73,43.72,42.385,43.27,4496800,40.9097
2015-09-02,42.165,42.95,41.64,42.095,3398600,39.7988
2015-09-01,42.72,42.865,41.405,41.975,4581800,39.6854
2015-08-31,43.205,43.55,42.88,43.455,2195800,41.0846
2015-08-28,43.88,43.98,43.18,43.675,2901800,41.2926
2015-08-27,43.59,44.17,43.33,43.78,4467500,41.3919
2015-08-26,42.55,43.135,41.72,42.36,4594500,40.0494
2015-08-25,41.205,43.365,41.035,42.99,7646300,40.645
2015-08-24,42.00,42.70,39.18,40.635,11535800,38.4184
2015-08-21,44.49,45.225,43.54,43.54,5831700,41.165
2015-08-20,46.695,46.92,45.28,45.475,4760400,42.9944
2015-08-19,46.90,47.75,46.575,46.795,3082900,44.2424
2015-08-18,47.185,47.72,46.99,47.215,2117000,44.6395
2015-08-17,46.995,47.535,46.73,47.30,2992700,44.7199
2015-08-14,47.075,47.53,46.315,46.70,2671600,44.1526
2015-08-13,47.00,47.53,46.845,46.985,3303300,44.4221
2015-08-12,47.35,47.515,45.94,46.23,5147300,43.7082
2015-08-11,48.275,48.37,47.675,47.91,2644900,45.2966
